#step	time	cpu_time	id	type	size1	size2	id	type	size1	size2	react	id	type	size1	size2	id	type	size1	size2
87413282	0.000215566	71.552	2121	4	221	520	-	-	-	-	trap_mutation	2122	2	1	0	2123	4	222	520
87525649	0.000216131	71.669	-	-	-	-	-	-	-	-	cascade.100.1.txt	-	-	-	-	-	-	-	-
87525663	0.000216132	71.67	2143	2	1	0	2133	1	1	0	anneal	-	-	-	-	-	-	-	-
87525732	0.000216132	71.671	2138	2	1	0	2128	1	1	0	anneal	-	-	-	-	-	-	-	-
87536268	0.000216132	71.688	2144	2	1	0	2134	1	1	0	anneal	-	-	-	-	-	-	-	-
88096646	0.00021645	72.481	2175	4	221	520	-	-	-	-	trap_mutation	2176	2	1	0	2177	4	222	520
88662606	0.000218646	73.234	2199	3	0	6	-	-	-	-	trap_mutation	2200	2	1	0	2201	4	1	6
88713064	0.000218659	73.296	2200	2	1	0	2135	1	1	0	anneal	-	-	-	-	-	-	-	-
88717312	0.000229158	73.315	-	-	-	-	-	-	-	-	cascade.100.2.txt	-	-	-	-	-	-	-	-
88717312	0.000229158	73.316	2202	1	1	0	2212	2	1	0	anneal	-	-	-	-	-	-	-	-
88755619	0.000229161	73.381	2241	3	0	9	-	-	-	-	trap_mutation	2242	2	1	0	2243	4	1	9
88997437	0.000229168	73.727	2247	4	221	520	-	-	-	-	trap_mutation	2248	2	1	0	2249	4	222	520
